	1N	1T	2T	3N	3T	4N	5N	5T
1700007P06Rik	0	0	0	0	0	0	0	0
1700008C04Rik	0	0	0	0	0	0	0	0
1700008J07Rik	0	4	2	4	0	0	0	0
1700008K24Rik	0	0	0	0	0	0	0	0
1700008O03Rik	0	0	0	0	0	0	0	2
1700008P02Rik	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0
1700010I14Rik	0	2	5	0	2	0	4	0
1700010J16Rik	0	0	0	0	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0
1700011A15Rik	2	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0	0
1700011H14Rik	0	0	0	2	0	0	0	0
1700011I03Rik	0	0	0	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0
1700011M02Rik	0	2	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	0	0	0	0	2
1700012B09Rik	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0
1700012D01Rik	0	0	0	0	0	0	0	0
1700012D14Rik	0	0	0	4	0	0	0	0
1700012D16Rik	0	0	0	0	0	0	0	0
1700012H19Rik	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0
1700012L04Rik	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0
1700013G24Rik	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0
1700016D06Rik	0	0	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0
1700016K19Rik	6	0	0	0	0	0	0	0
1700016L04Rik	0	0	0	0	0	0	0	0
1700016L21Rik	0	0	0	0	0	0	0	0
1700016P04Rik	0	0	0	0	0	0	0	0
1700017B05Rik	12	55	24	8	58	18	9	49
1700017D01Rik	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0
1700018B24Rik	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	2	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0
1700018L02Rik	0	0	0	0	0	0	0	1
1700019A02Rik	0	0	0	0	0	0	0	0
1700019B03Rik	0	0	0	0	0	0	0	0
1700019B21Rik	0	0	0	0	0	0	0	0
1700019C18Rik	0	0	0	0	0	0	0	0
1700019D03Rik	10	0	4	0	0	2	2	2
1700019E08Rik	0	0	0	0	0	0	0	0
1700019G17Rik	8	6	0	22	14	18	14	10
1700019G24Rik	0	0	0	0	0	0	0	0
1700019L03Rik	2	3	2	2	2	0	6	2
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	2	0	0	0	0
1700020D14Rik	0	0	0	0	0	0	0	0
1700020G17Rik	0	0	0	0	0	0	0	0
1700020I14Rik	16	27	25	12	11	13	17	16
1700020L24Rik	0	1	10	8	2	2	8	4
1700020M21Rik	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	0	0	2	0	0	0	0	0
1700021F05Rik	4	8	6	8	16	4	6	15
1700021F07Rik	0	0	0	0	0	0	0	0
1700021K19Rik	16	24	20	18	13	12	14	23
1700021N21Rik	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0
1700022I11Rik	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0
1700024F13Rik	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0	0	0
1700024I08Rik	0	0	0	0	0	0	0	0
1700024N05Rik	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0
1700024P16Rik	6	0	6	2	6	4	2	1
1700025B11Rik	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0
1700025G04Rik	5	6	11	14	4	15	15	3
1700025J12Rik	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	1	0	0
1700026D08Rik	0	0	0	0	0	0	0	0
1700026D11Rik	0	0	0	0	0	0	0	0
1700026F02Rik	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0
1700026L06Rik	0	0	0	0	0	0	0	0
1700027A15Rik	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0
1700027F09Rik	0	0	0	0	0	0	0	0
1700027H10Rik	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0
1700028E10Rik	0	0	0	0	0	0	0	0
1700028I16Rik	0	0	0	0	0	0	0	0
1700028J19Rik	0	0	0	0	0	0	0	0
1700028K03Rik	0	0	2	1	0	2	0	0
1700028M03Rik	0	0	0	0	0	0	0	0
1700028P14Rik	0	0	0	0	0	0	0	0
1700028P15Rik	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0
1700029I15Rik	0	0	0	0	0	0	0	0
1700029J03Rik	0	0	0	0	0	0	0	0
1700029J07Rik	0	2	0	0	2	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	0	0	0	0
1700030A11Rik	1	0	0	3	0	0	2	0
1700030C10Rik	0	0	2	2	8	1	2	2
1700030F04Rik	0	0	0	0	0	0	0	0
1700030F18Rik	0	0	0	0	0	0	0	0
1700030J22Rik	2	0	0	4	0	2	0	0
1700030K09Rik	0	2	2	0	4	2	2	6
1700030L20Rik	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0
1700034H15Rik	0	0	0	0	0	0	0	2
1700034I23Rik	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	2	0	0	0
1700034P13Rik	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0
1700037C18Rik	2	2	0	4	0	6	0	2
1700037H04Rik	13	22	15	16	4	4	18	21
1700039E15Rik	0	0	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0	0	0
1700040L02Rik	0	0	0	4	0	4	2	0
1700041A01Rik	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	0	0	0
1700044C05Rik	0	0	0	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0	0	0
1700047A11Rik	0	0	0	0	0	0	0	0
1700047E10Rik	0	0	0	0	0	0	0	0
1700047G03Rik	0	0	0	0	0	0	0	0
1700047I17Rik2	0	0	0	0	0	0	0	0
1700047L14Rik	0	0	0	0	0	0	0	0
1700047M11Rik	0	0	0	0	0	0	0	0
1700048M11Rik	0	0	0	0	0	0	0	2
1700048O20Rik	0	0	0	0	0	0	0	0
1700049E15Rik	0	0	0	0	0	0	0	0
1700049E22Rik	0	0	0	0	0	0	0	0
1700049G17Rik	2	6	10	0	6	4	6	6
1700049L16Rik	0	0	0	0	0	0	0	0
1700051A21Rik	0	0	0	0	0	0	0	0
1700052I22Rik	0	0	0	0	0	0	0	0
1700052K11Rik	0	2	2	0	2	0	2	1
1700054A03Rik	0	0	0	0	0	0	0	0
1700054K19Rik	0	0	0	0	0	0	0	0
1700054M17Rik	0	0	0	0	0	0	0	0
1700055C04Rik	0	0	0	0	0	0	0	0
1700056E22Rik	0	0	0	0	0	2	0	4
1700057G04Rik	0	0	0	0	0	0	0	0
1700057H15Rik	0	0	0	0	0	0	0	0
1700057H21Rik	0	0	0	0	0	0	0	0
1700060C16Rik	0	0	0	0	0	0	0	0
1700060C20Rik	0	0	0	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0	0	0
1700061G19Rik	0	0	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0	0	0
1700061J23Rik	0	0	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0	0	0
1700063D05Rik	0	0	0	0	0	0	0	0
1700063O14Rik	0	0	0	0	0	0	0	0
1700064J06Rik	0	0	0	0	0	0	0	0
1700064M15Rik	0	0	0	0	0	0	0	0
1700065D16Rik	1	0	0	0	0	0	0	0
1700065I16Rik	0	0	0	0	0	0	0	0
1700065J11Rik	0	0	0	0	0	0	0	0
1700065J18Rik	0	0	0	0	0	0	0	0
1700065L07Rik	0	0	0	0	0	0	0	0
1700065O20Rik	0	0	0	0	0	0	0	0
1700066B17Rik	0	0	0	0	0	0	0	0
1700066B19Rik	10	23	16	14	12	4	16	12
1700066J03Rik	0	0	0	0	0	0	0	0
1700066M21Rik	2	2	8	0	0	0	6	12
1700066N21Rik	0	0	0	0	0	0	0	0
1700066O22Rik	0	0	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0	0	0
1700067K01Rik	0	2	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0
1700069P05Rik	0	0	0	0	0	0	0	0
1700071K01Rik	0	0	0	0	0	0	0	0
1700071M16Rik	0	0	0	0	0	0	0	2
1700072B07Rik	0	0	0	0	0	0	0	0
1700072I22Rik	0	0	0	0	0	0	0	0
1700072O05Rik	0	0	0	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0	0	0
1700074H08Rik	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0
1700081H04Rik	0	0	0	0	0	0	0	0
1700084C01Rik	0	0	0	0	0	0	0	0
1700084D21Rik	0	0	0	0	0	0	0	0
1700084E18Rik	0	0	0	0	0	2	0	0
1700084F23Rik	0	0	0	0	0	0	0	0
1700084J12Rik	0	0	0	0	0	0	0	0
1700084M14Rik	0	0	0	0	0	0	0	0
1700085C21Rik	0	0	0	0	0	0	0	0
1700086L19Rik	0	0	0	0	0	0	0	0
1700086O06Rik	0	0	0	0	0	3	2	0
1700088E04Rik	0	0	0	0	0	0	0	0
1700091H14Rik	0	0	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0	0	0
1700092E19Rik	0	0	0	0	0	0	0	0
1700092K14Rik	0	0	0	0	0	0	0	0
1700092M07Rik	0	2	0	0	0	0	0	0
1700093K21Rik	0	0	0	0	0	0	0	0
1700094D03Rik	2	6	0	0	4	0	8	8
1700094J05Rik	0	0	0	0	0	0	0	0
1700094M24Rik	0	0	0	0	0	0	0	0
1700095A21Rik	0	0	0	0	0	0	0	0
1700095B10Rik	0	0	0	0	0	0	0	0
1700095J12Rik	0	0	0	0	0	0	0	0
1700096J18Rik	0	0	0	0	0	0	0	0
1700096K18Rik	0	2	0	0	0	4	4	0
1700096P03Rik	0	0	0	0	0	0	0	0
1700097N02Rik	2	2	0	2	0	0	0	0
1700099I09Rik	0	0	0	0	0	0	0	0
1700100I10Rik	0	0	0	0	0	0	0	0
1700100L14Rik	0	0	0	0	0	0	0	0
1700101E01Rik	0	0	0	0	0	0	0	0
1700101I11Rik	0	0	0	0	0	0	0	0
1700101O22Rik	0	0	0	0	0	0	0	0
1700102H20Rik	0	1	0	0	0	0	0	0
1700102P08Rik	0	0	0	0	0	0	0	0
1700104L18Rik	0	0	0	0	0	0	0	0
1700105P06Rik	0	0	0	0	0	0	0	0
1700106J16Rik	0	0	0	0	0	0	0	0
1700108F19Rik	0	0	0	0	0	0	0	0
1700108J01Rik	0	0	0	0	0	0	0	0
1700109G14Rik	0	0	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0	0	0
1700109H08Rik	0	0	0	1	3	0	0	0
1700109I08Rik	0	0	0	0	0	0	0	0
1700109K24Rik	0	1	2	2	0	0	0	0
1700110C19Rik	0	0	0	0	0	0	0	0
1700110I01Rik	0	0	0	0	0	0	0	0
1700110I07Rik	0	0	0	0	0	0	0	0
1700110K17Rik	0	0	0	2	0	0	0	0
1700111N16Rik	0	0	0	0	0	0	0	0
1700112E06Rik	0	0	0	0	0	2	0	1
1700112H15Rik	0	0	0	0	0	0	0	0
1700112J05Rik	0	0	0	0	0	0	0	0
1700112J16Rik	0	0	0	0	0	0	0	0
1700113A16Rik	6	0	7	3	2	7	8	0
1700113B09Rik	0	0	0	0	0	0	0	0
1700113H08Rik	0	0	0	0	0	0	0	0
1700116B05Rik	0	0	0	0	0	0	0	0
1700119H24Rik	0	0	0	0	0	0	0	0
1700120C14Rik	0	0	0	0	0	0	0	0
1700120E14Rik	0	0	0	0	0	2	0	0
1700120G07Rik	0	0	0	0	0	0	0	0
1700120K04Rik	0	0	0	0	0	0	0	0
1700121L16Rik	0	0	0	0	0	0	0	0
1700121N20Rik	0	0	0	0	0	0	0	0
1700122C19Rik	0	0	0	0	0	0	0	0
1700122O11Rik	0	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0	2	0
1700123J17Rik	0	0	0	0	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0
1700123L14Rik	0	0	0	0	0	0	0	0
1700123M08Rik	0	2	0	0	0	0	0	0
1700123O12Rik	0	0	0	0	0	0	0	0
1700123O20Rik	6	28	12	11	6	6	11	6
1700123O21Rik	0	0	0	0	0	0	0	0
1700124L16Rik	0	0	0	0	0	0	0	0
1700125G02Rik	0	0	0	0	0	0	0	0
1700125G22Rik	0	0	0	0	0	0	0	0
1700125H03Rik	0	0	0	0	1	0	0	0
1700125H20Rik	0	0	0	0	0	0	0	0
1700126H18Rik	0	0	0	0	0	0	0	0
1700128A07Rik	0	0	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0	0	0
1810006J02Rik	0	1	0	0	0	0	0	0
1810007C17Rik	0	0	0	0	0	0	0	0
1810007D17Rik	0	0	0	0	0	0	0	0
1810008I18Rik	2	0	2	0	2	4	0	0
1810009A15Rik	0	2	0	0	0	0	0	0
1810009J06Rik	0	0	0	0	0	0	0	0
1810010D01Rik	0	0	0	0	3	2	0	0
1810010H24Rik	2	0	0	2	2	0	0	0
1810011H11Rik	2	0	2	2	0	0	2	2
1810011O10Rik	36	16	35	36	17	19	28	12
1810012K16Rik	0	0	0	0	0	0	0	0
1810013A23Rik	2	0	0	0	0	0	1	0
1810013L24Rik	24	30	54	19	26	37	40	38
1810014B01Rik	0	0	0	4	0	0	0	2
1810018F18Rik	0	0	0	0	0	0	0	0
1810019D21Rik	8	13	6	11	11	8	11	12
1810020O05Rik	0	0	0	0	0	0	0	0
1810021B22Rik	2	0	0	0	0	0	0	0
1810022K09Rik	9	19	10	6	9	7	4	4
1810024B03Rik	0	0	0	0	0	0	0	0
1810026B05Rik	8	6	10	8	10	10	10	8
1810026J23Rik	9	10	14	10	33	6	18	17
1810030O07Rik	8	28	14	14	14	16	18	23
1810032O08Rik	2	4	4	0	10	4	0	6
1810034E14Rik	2	2	0	0	2	2	8	2
1810037I17Rik	36	30	13	26	24	22	26	8
1810041H14Rik	0	0	0	0	0	0	0	1
1810041L15Rik	0	0	0	0	0	2	0	2
1810043G02Rik	4	2	4	4	10	4	10	0
1810043H04Rik	8	8	10	3	10	4	6	2
1810044D09Rik	0	0	0	0	0	0	0	0
1810046K07Rik	0	0	0	0	0	0	0	0
1810053B23Rik	0	0	0	0	0	0	0	0
1810055G02Rik	4	12	8	12	11	5	12	4
1810058I24Rik	6	14	10	6	22	6	8	18
1810062G17Rik	0	0	2	0	0	0	0	0
1810062O18Rik	0	0	0	0	0	0	0	0
1810063I02Rik	0	0	0	0	0	2	0	0
1810064F22Rik	0	0	0	0	0	0	2	0
1810065E05Rik	238	0	52	119	1	186	62	0
2010001A14Rik	2	0	0	0	0	4	8	2
2010001E11Rik	0	0	0	0	0	0	0	0
2010003K11Rik	20	0	15	13	0	31	18	2
2010005H15Rik	0	0	0	0	0	0	0	0
2010009K17Rik	0	0	0	0	0	0	0	0
2010010A06Rik	0	0	0	0	0	0	2	0
2010012O05Rik	8	4	4	8	0	8	0	4
2010016I18Rik	5	2	8	4	0	4	4	0
2010106C02Rik	0	0	0	0	0	0	0	0
2010106E10Rik	0	0	0	1	0	0	2	0
2010107E04Rik	36	22	18	38	26	44	22	12
2010107G12Rik	0	4	4	2	4	2	4	0
2010107G23Rik	8	2	6	4	0	2	2	8
2010109A12Rik	0	0	0	0	0	0	0	0
2010109I03Rik	117	8	128	138	8	169	60	14
2010111I01Rik	61	75	42	27	51	29	32	67
2010204K13Rik	2	0	0	0	0	0	0	0
2010300C02Rik	32	12	8	10	11	25	39	14
2010308F09Rik	0	0	0	0	0	0	0	0
2010310C07Rik	0	0	0	0	0	0	0	0
2010315B03Rik	12	6	8	11	13	20	12	10
2010320M18Rik	6	2	0	8	6	2	8	0
2200002D01Rik	75	10	51	69	12	110	119	12
2200002J24Rik	0	0	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0	0	0
2210011C24Rik	2	0	0	0	0	1	0	0
2210013O21Rik	6	4	8	8	10	1	0	4
2210015D19Rik	3	2	2	3	4	3	1	2
2210016F16Rik	24	20	24	16	12	35	29	19
2210016L21Rik	5	7	4	8	14	6	20	7
2210018M11Rik	6	28	12	8	30	13	6	24
2210019I11Rik	0	0	0	1	0	0	0	0
2210039B01Rik	0	0	0	0	0	0	0	0
2210404E10Rik	0	0	0	0	0	0	0	0
2210404O09Rik	0	0	8	3	7	6	4	4
2210406O10Rik	0	0	0	0	0	2	0	0
2210407C18Rik	11	6	8	0	2	3	6	2
2210408F21Rik	0	0	0	0	0	0	0	2
2210408I21Rik	0	2	0	0	0	0	0	6
2210409D07Rik	0	0	0	0	0	0	0	0
2210409E12Rik	0	0	0	0	0	0	0	0
2210414B05Rik	0	0	0	0	0	0	0	0
2210416O15Rik	0	0	0	0	0	0	0	0
2210417A02Rik	0	0	0	4	0	1	0	4
2210420H20Rik	0	0	0	0	0	0	0	0
2300002M23Rik	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0
2300005B03Rik	0	0	0	0	0	0	0	0
2300009A05Rik	6	2	4	0	0	0	0	2
2310001H17Rik	4	0	0	2	4	0	0	0
2310001K24Rik	0	0	0	0	0	0	0	0
2310002D06Rik	0	0	0	0	0	0	0	0
2310002F09Rik	0	0	0	0	0	0	0	0
2310002L09Rik	0	0	0	0	0	0	0	0
2310003N18Rik	0	0	0	0	0	0	0	0
2310005A03Rik	0	0	0	0	0	0	0	0
2310005E17Rik	0	0	0	0	0	0	0	0
2310007B03Rik	4	2	2	6	0	4	4	1
2310008N11Rik	0	0	0	0	0	0	0	0
2310009A05Rik	0	4	0	2	0	0	2	2
2310009B15Rik	5	2	2	4	0	2	2	2
2310010G23Rik	0	0	0	0	0	0	0	0
2310010J17Rik	2	0	0	0	0	0	0	0
2310011J03Rik	20	18	14	10	21	24	34	8
